"ExternalRiskEstimate","NetFractionRevolvingBurden","AverageMInFile","PercentTradesWBalance","PercentTradesNeverDelq","MSinceMostRecentInqexcl7days","RiskPerformance"
0.71,0.37,73,0.8,0.96,0,0
0.5,0.32,91,0.67,0.82,0,0
0.62,0.4,99,0.99482367883902,0.8,0,0
0.7,0.78,75,0.67,0.990765667483211,0,0
0.58,0.81,79,0.86,0.73,0,0
0.88,0.17,82,0.5,0.992302658164408,0,1
0.65,0.8,48,0.7,0.99784649360925,0,0
0.74,0.37,78,0.75,0.96,0,0
0.78,0.22,95,0.43,0.992946428181604,0,0
0.74,0.44,110,0.69,0.98,0,1
0.77,0.46,103,0.69,0.98,0,1
0.67,0.63,79,0.94,0.89,0,0
0.56,0.83,32,0.998154466138221,0.92,0,1
0.88,0.00447117140749469,103,0.71,0.9926672494784,0,1
0.75,0.43,59,0.83,0.990910314212088,0,0
0.66,0.42,69,0.58,0.94,0,0
0.81,0.36,91,0.67,0.993372994940728,0,1
0.71,0.87,95,0.996743192700669,0.96,0,0
0.69,0.37,43,0.83,0.992660224305,0,0
0.74,0.36,91,0.4,0.93,0,1
0.56,0.993235738566145,109,0.94,0.79,0,0
0.65,0.49,89,0.8,0.83,0,0
0.92,0.07,154,0.8,0.995430795361754,0,1
0.91,0.02,108,0.67,0.99178903990658,0,1
0.73,0.06,90,0.5,0.997092317666393,0,1
0.66,0.58,80,0.88,0.88,0,0
0.87,0.01,59,0.75,0.998981032189913,0,0
0.64,0.008885981105268,106,0.996809996869415,0.88,0,0
0.63,0.77,40,0.997331775354687,0.86,0,0
0.78,0.04,65,0.64,0.96,0,1
0.75,0.13,105,0.999383250509854,0.82,0,0
0.68,0.05,110,0.71,0.86,0,1
0.61,0.53,96,0.92,0.74,0,0
0.63,0.55,79,0.91,0.59,0,0
0.69,0.94,109,0.999764538283926,0.92,0,0
0.49,0.37,48,0.8,0.53,0,0
0.74,0.61,69,0.78,0.999341721290257,0,0
0.65,0.51,95,0.8,0.76,0,0
0.8,0.16,91,0.69,0.99415126421256,0,0
0.61,0.8,41,0.999007878769189,0.8,0,0
0.57,0.57,79,0.99317034172127,0.92,0,0
0.59,0.75,81,0.994580614767037,0.69,0,0
0.71,0.48,94,0.67,0.86,0,0
0.86,0.03,85,0.56,0.97,0,1
0.83,0.17,62,0.6,0.99986125994008,0,1
0.59,0.38,89,0.86,0.79,0,0
0.59,0.93,50,0.9,0.44,0,0
0.55,0.56,81,0.83,0.86,0,1
0.75,0.31,97,0.57,0.96,0,1
0.78,0.00880245002917945,16,0.5,0.998921316836495,0,0
0.65,0.01,4,0.5,0.999881965511013,0,1
0.8,0.04,106,0.86,0.97,2,1
0.7,0.16,73,0.63,0.88,2,0
0.59,0.98,82,0.998156931260601,0.78,4,0
0.57,0.12,72,0.89,0.88,2,0
0.77,0.26,55,0.86,0.99680935818702,2,0
0.65,0.81,24,0.88,0.992426166809164,3,0
0.67,0.66,46,0.88,0.999712730122264,0,0
0.73,0.54,77,0.992660929679405,0.991800852047745,0,0
0.73,0.4,113,0.68,0.998843924463727,7,0
0.77,0.41,93,0.75,0.998931776676327,17,0
0.61,0.97,118,0.995471461887937,0.82,19,0
0.86,0.03,135,0.43,0.990079934312962,1,1
0.66,0.66,36,0.96,0.991186481618788,10,1
0.64,0.48,108,0.62,0.85,0,0
0.79,0.18,100,0.71,0.997913309542928,4,1
0.76,0.42,84,0.75,0.95,3,1
0.62,0.00624181217048317,22,0.994628759557381,0.993662749286741,2,0
0.81,0.25,128,0.9,0.98,0,1
0.85,0.01,120,0.5,0.991002117262687,2,1
0.75,0.85,69,0.83,0.998519903535489,2,0
0.72,0.4,65,0.73,0.993183287887368,2,0
0.71,0.43,68,0.76,0.97,1,0
0.65,0.75,190,0.88,0.85,5,1
0.55,0.8,65,0.79,0.98,0,1
0.89,0.03,75,0.5,0.994879781226628,0,1
0.5,0.42,99,0.69,0.81,3,0
0.7,0.69,69,0.996978616651613,0.88,0,1
0.55,0.44,65,0.92,0.98,1,0
0.69,0.06,57,0.75,0.67,5,0
0.62,0.67,93,0.998971389203798,0.9,16,1
0.87,0.03,67,0.44,0.990050995915662,5,1
0.65,0.17,64,0.67,0.78,0,1
0.66,0.58,33,0.63,0.991752030155622,0,0
0.85,0.53,159,0.990176901011728,0.990813704512548,0,0
0.81,0.19,93,0.35,0.99851856801426,2,1
0.65,0.11,74,0.56,0.68,0,1
0.65,0.13,55,0.31,0.83,0,1
0.85,0.11,87,0.73,0.994982136788312,0,1
0.67,0.18,58,0.79,0.94,3,1
0.92,0.11,120,0.6,0.990042211553082,4,1
0.66,0.83,123,0.998250908488408,0.995220031505451,4,0
0.62,0.13,59,0.997460555001162,0.81,0,0
0.62,0.13,79,0.993420319776051,0.92,0,0
0.69,0.16,56,0.73,0.9,1,1
0.83,0.05,151,0.33,0.9,19,0
0.57,0.93,67,0.997602763057221,0.8,3,0
0.66,0.45,125,0.65,0.79,4,0
0.66,0.8,145,0.83,0.97,4,0
0.64,0.52,94,0.82,0.71,5,0
0.81,0.29,104,0.86,0.99426189447986,9,1
0.63,0.38,85,0.5,0.95,0,1
0.66,0.995301903353538,77,0.997335765773896,0.993531700405292,0,0
0.61,0.56,145,0.78,0.88,12,0
0.85,0.12,74,0.86,0.99889911667211,18,1
0.72,0.34,57,0.73,0.994625214785337,7,1
0.85,0.17,72,0.75,0.992956751843449,17,1
0.78,0.06,106,0.56,0.96,4,0
0.86,0.26,112,0.83,0.991773667400703,1,1
0.7,0.39,67,0.99307182864286,0.83,5,1
0.62,0.32,124,0.57,0.95,5,0
0.82,0.25,103,0.89,0.994344716337509,6,1
0.75,0.34,117,0.45,0.997160854802933,0,1
0.66,0.8,40,0.88,0.990855692361947,1,1
0.93,0.00495299786096439,174,0.00248820409178734,0.991974265254103,2,0
0.67,0.44,48,0.75,0.89,4,0
0.64,0.29,52,0.58,0.88,1,0
0.67,0.91,38,0.75,0.999048020187765,5,0
0.81,0.08,54,0.67,0.993039122626651,0,1
0.8,0.08,129,0.5,0.9,0,1
0.84,0.2,85,0.38,0.999857638501562,17,1
0.88,0.00648004927905276,93,0.29,0.990406109949108,5,1
0.82,0.33,92,0.995272774151526,0.994696130494121,18,1
0.6,0.16,73,0.68,0.78,0,0
0.6,0.00260245690820739,67,0.63,0.67,0,0
0.75,0.03,90,0.59,0.94,0,1
0.59,0.48,74,0.83,0.93,1,0
0.75,0.41,74,0.8,0.994075043001212,0,1
0.73,0.25,65,0.62,0.991199761778116,1,1
0.87,0.1,71,0.67,0.995499965366907,13,1
0.9,0.02,96,0.2,0.993498928409535,0,1
0.63,0.53,42,0.89,0.995113048262429,0,1
0.89,0.02,106,0.64,0.991485395906493,0,1
0.82,0.12,82,0.44,0.997385362403002,0,1
0.7,0.03,131,0.55,0.999156734060962,0,1
0.76,0.13,68,0.67,0.97,1,1
0.75,0.47,101,0.89,0.96,6,1
0.76,0.31,87,0.6,0.94,5,1
0.65,0.83,70,0.79,0.997624447464477,1,0
0.65,0.09,142,0.62,0.38,3,0
0.92,0.01,258,0.5,0.99735732316738,2,0
0.66,0.19,69,0.57,0.98,0,0
0.64,0.34,87,0.71,0.97,0,0
0.63,0.57,67,0.67,0.86,0,0
0.61,0.89,74,0.997279108592775,0.93,0,0
0.76,0.17,77,0.5,0.991455393328797,0,1
0.6,0.56,34,0.67,0.96,0,0
0.89,0.1,108,0.55,0.992214695890434,0,1
0.85,0.04,96,0.25,0.991957938331179,0,1
0.58,0.68,144,0.99320933512412,0.64,0,0
0.64,0.57,73,0.992567471843213,0.67,0,1
0.81,0.25,74,0.8,0.992170943052042,0,1
0.56,0.43,37,0.73,0.93,0,0
0.55,0.992988860171754,56,0.995154823227785,0.92,0,0
0.51,0.94,93,0.83,0.69,0,0
0.68,0.59,51,0.75,0.97,0,0
0.55,0.66,83,0.89,0.86,0,0
0.87,0.03,120,0.47,0.99278731794795,0,1
0.68,0.64,106,0.9,0.88,0,0
0.7,0.35,69,0.59,0.97,0,0
0.75,0.6,60,0.8,0.992572861509398,0,1
0.7,0.5,67,0.9,0.82,0,0
0.77,0.41,75,0.43,0.95,0,1
0.73,0.35,72,0.73,0.95,0,0
0.6,0.37,126,0.95,0.89,0,1
0.77,0.16,85,0.59,0.990563276677858,0,0
0.8,0.36,105,0.58,0.998058522031642,0,1
0.82,0.02,60,0.29,0.995657460941002,0,0
0.83,0.38,70,0.8,0.993725738788489,0,0
0.65,0.66,114,0.88,0.82,0,0
0.77,0.17,73,0.67,0.88,0,0
0.66,0.55,138,0.8,0.85,0,0
0.84,0.04,104,0.75,0.992519387220964,0,0
0.59,0.7,50,0.991171248217579,0.79,0,0
0.66,0.8,125,0.6,0.64,0,0
0.63,0.33,159,0.33,0.43,0,0
0.73,0.5,67,0.69,0.991896933724638,0,0
0.77,0.19,71,0.5,0.995695855095983,0,1
0.79,0.1,38,0.5,0.99390202546725,0,1
0.64,0.58,71,0.67,0.92,0,0
0.67,0.68,108,0.8,0.95,0,0
0.8,0.16,82,0.78,0.87,0,0
0.74,0.05,90,0.47,0.97,0,0
0.7,0.83,64,0.993498744601384,0.996871148217469,0,1
0.65,0.006319565824233,50,0.995708486223593,0.67,0,0
0.69,0.66,76,0.57,0.82,0,0
0.73,0.42,49,0.56,0.95,0,0
0.66,0.33,21,0.73,0.92,0,1
0.73,0.45,88,0.89,0.991638247221708,0,1
0.8,0.07,72,0.5,0.994831823403947,0,1
0.58,0.69,57,0.78,0.96,0,0
0.88,0.01,114,0.36,0.991719186473638,0,1
0.64,0.42,54,0.86,0.89,0,1
0.62,0.68,84,0.85,0.89,0,0
0.73,0.4,96,0.85,0.85,0,0
0.86,0.22,95,0.43,0.999147889553569,0,0
0.66,0.24,183,0.992230108513031,0.83,0,0
0.69,0.25,62,0.45,0.96,0,1
0.58,0.62,66,0.9,0.75,0,0
0.75,0.39,102,0.53,0.993967770629097,0,0
0.75,0.48,118,0.83,0.94,0,0
0.7,0.31,69,0.39,0.99372947511496,0,0
0.83,0.02,35,0.5,0.993487539228518,0,0
0.72,0.73,39,0.995113989682868,0.999102985810023,0,0
0.84,0.04,119,0.76,0.991560854522977,0,1
0.68,0.95,69,0.993118810532615,0.998581614510622,0,0
0.76,0.42,107,0.75,0.97,0,1
0.82,0.00641558249946684,88,0.5,0.99736476190621,0,0
0.62,0.998943409542553,17,0.75,0.992307180429343,0,1
0.79,0.2,64,0.5,0.99518280262826,0,0
0.77,0.69,76,0.63,0.997352516714018,0,0
0.82,0.03,57,0.45,0.98,0,0
0.64,0.69,49,0.78,0.88,0,1
0.68,0.75,96,0.71,0.9,0,1
0.57,0.995039306839462,57,0.990905836904421,0.71,0,0
0.75,0.56,41,0.998723485670052,0.991152017926797,0,0
0.84,0.00234976842068136,80,0.67,0.997761113026645,0,1
0.73,0.68,65,0.71,0.992356400049757,0,1
0.8,0.06,58,0.64,0.98,0,1
0.61,0.1,70,0.56,0.74,0,0
0.79,0.15,93,0.86,0.82,0,0
0.89,0.07,140,0.36,0.995548463223968,0,1
0.76,0.16,47,0.64,0.999619873526972,0,1
0.64,0.09,45,0.56,0.86,0,0
0.72,0.3,84,0.7,0.81,0,0
0.58,0.45,22,0.88,0.83,0,0
0.8,0.000142701365984976,66,0.994739482020959,0.997388873677701,0,0
0.59,0.49,37,0.78,0.88,0,0
0.62,0.29,99,0.45,0.7,0,0
0.87,0.09,63,0.56,0.991863029152155,0,0
0.52,0.41,62,0.8,0.86,0,0
0.61,0.0032466872013174,84,0.5,0.63,0,1
0.82,0.36,108,0.4,0.99317040016409,0,1
0.88,0.02,90,0.36,0.999590321509168,0,1
0.64,0.61,22,0.996064229581971,0.993245523069054,0,0
0.89,0.04,79,0.83,0.992556622831616,0,1
0.83,0.12,86,0.63,0.997556435894221,0,1
0.81,0.00665293986909091,83,0.67,0.998992063747719,0,0
0.6,0.26,97,0.8,0.25,0,1
0.66,0.18,61,0.58,0.92,0,1
0.7,0.58,75,0.6,0.992457375279628,0,1
0.69,0.58,66,0.86,0.95,0,0
0.65,0.6,42,0.83,0.92,0,0
0.6,0.61,94,0.994513574552257,0.73,0,0
0.76,0.76,100,0.83,0.995428857598454,0,1
0.72,0.49,66,0.33,0.83,0,0
0.69,0.97,62,0.993211287069134,0.92,0,0
0.58,0.44,65,0.78,0.996898340089247,0,0
0.64,0.51,109,0.64,0.92,0,1
0.82,0.03,87,0.44,0.996637067229021,0,1
0.67,0.3,19,0.65,0.992602524075191,0,1
0.66,0.94,73,0.994551293433178,0.88,0,0
0.63,0.52,54,0.88,0.91,0,0
0.76,0.4,89,0.5,0.998305865935981,0,0
0.81,0.03,63,0.5,0.997664467040449,0,0
0.57,0.4,42,0.5,0.97,0,1
0.58,0.95,66,0.995161445222329,0.85,0,0
0.78,0.23,98,0.75,0.95,0,0
0.73,0.00212980479001999,110,0.997720125431661,0.67,0,1
0.62,0.26,52,0.999490772392601,0.76,0,0
0.72,0.06,57,0.65,0.97,0,1
0.8,0.00480097508057952,110,0.44,0.9,0,1
0.74,0.01,68,0.36,0.91,0,0
0.63,0.34,76,0.57,0.94,0,0
0.57,0.47,66,0.82,0.8,0,0
0.61,0.92,5,0.994552904986776,0.991740611966234,0,0
0.69,0.41,61,0.75,0.96,0,0
0.64,0.996761428816244,38,0.995638169441372,0.75,0,1
0.55,0.96,53,0.78,0.75,0,0
0.78,0.42,71,0.4,0.95,0,1
0.61,0.3,50,0.75,0.82,0,0
0.52,0.25,86,0.71,0.61,0,1
0.76,0.12,64,0.6,0.92,0,0
0.82,0.1,89,0.29,0.995393189317547,0,1
0.81,0.01,111,0.67,0.95,0,0
0.71,0.23,52,0.75,0.95,0,1
0.71,0.38,91,0.62,0.93,0,0
0.88,0.00204164879862219,75,0.5,0.9982455428713,0,1
0.87,0.02,96,0.38,0.997462374852039,0,1
0.66,0.993283222594764,84,0.8,0.57,0,0
0.61,0.39,53,0.64,0.89,0,0
0.82,0.18,71,0.55,0.990663806665689,0,0
0.85,0.01,65,0.3,0.991384550868533,0,0
0.72,0.17,47,0.71,0.89,0,0
0.68,0.44,99,0.63,0.85,0,1
0.68,0.68,60,0.996828029612079,0.999224122518208,0,0
0.67,0.74,43,0.999590123537928,0.93,0,0
0.66,0.01,70,0.39,0.78,0,0
0.68,0.44,89,0.85,0.93,0,1
0.65,0.51,78,0.83,0.78,0,0
0.8,0.1,69,0.55,0.98,0,0
0.6,0.04,155,0.71,0.94,0,1
0.65,0.02,90,0.47,0.992706680516712,0,1
0.66,0.93,42,0.991308554394636,0.999000367484987,0,0
0.77,0.00652371478965506,72,0.43,0.995749198845588,0,0
0.67,0.44,30,0.82,0.991228140220046,0,0
0.8,0.22,62,0.38,0.999384588883258,0,1
0.75,0.02,91,0.57,0.997119337827899,0,1
0.73,0.43,58,0.62,0.995111690801568,0,1
0.84,0.17,91,0.990709498377983,0.993743136415724,0,1
0.75,0.15,43,0.27,0.997864208358806,0,1
0.73,0.81,38,0.5,0.996390350779984,0,0
0.65,0.39,46,0.4,0.991199157896917,0,0
0.7,0.93,90,0.99724100638181,0.97,0,0
0.65,0.7,93,0.88,0.85,0,1
0.91,0.01,132,0.8,0.993065546604339,0,1
0.89,0.02,122,0.57,0.998359256074764,0,1
0.73,0.21,88,0.63,0.89,0,0
0.68,0.73,96,0.71,0.97,0,1
0.71,0.34,46,0.71,0.95,0,0
0.86,0.06,93,0.44,0.995418737162836,0,1
0.81,0.00779619962442666,63,0.998452552098315,0.992210864070803,0,0
0.74,0.28,126,0.74,0.96,0,1
0.69,0.3,46,0.75,0.75,0,0
0.86,0.07,49,0.5,0.991360609566327,0,1
0.86,0.07,77,0.33,0.992490389528684,0,1
0.64,0.34,130,0.67,0.96,0,0
0.77,0.59,66,0.91,0.996444334988482,0,1
0.73,0.81,70,0.83,0.95,0,0
0.74,0.16,68,0.46,0.93,0,0
0.62,0.73,47,0.91,0.96,0,0
0.67,0.27,43,0.6,0.5,0,0
0.7,0.49,51,0.83,0.96,0,0
0.58,0.82,62,0.998264986854047,0.83,0,0
0.86,0.01,83,0.33,0.993369986684993,0,1
0.63,0.37,94,0.78,0.997296146745793,0,0
0.56,0.69,98,0.998395154064056,0.75,0,0
0.69,0.00313812609063461,34,0.996791733510327,0.67,0,0
0.61,0.4,86,0.55,0.95,0,1
0.66,0.61,69,0.8,0.94,0,0
0.88,0.09,158,0.5,0.992020356110297,0,1
0.59,0.2,55,0.71,0.75,0,0
0.8,0.2,72,0.38,0.995452624708414,0,0
0.85,0.01,78,0.5,0.91,0,1
0.57,0.86,53,0.71,0.88,0,1
0.74,0.28,93,0.4,0.86,0,0
0.54,0.28,116,0.5,0.57,0,0
0.83,0.1,128,0.5,0.993803563830443,0,1
0.6,0.22,66,0.5,0.59,0,0
0.63,0.74,74,0.75,0.86,0,1
0.69,0.48,20,0.990753904597368,0.86,0,0
0.66,0.37,101,0.993531462273095,0.71,0,1
0.77,0.51,84,0.78,0.999917069829535,0,0
0.63,0.72,54,0.91,0.89,0,0
0.65,0.72,63,0.9,0.92,0,0
0.67,0.36,40,0.5,0.992920214368496,0,0
0.71,0.82,74,0.91,0.97,0,0
0.66,0.00778276048600674,40,0.67,0.86,0,0
0.67,0.79,103,0.75,0.88,0,0
0.6,0.0028099485556595,53,0.0010540818865411,0.67,0,0
0.66,0.46,38,0.92,0.95,0,0
0.56,0.994346938140225,54,0.99953717493685,0.27,0,0
0.55,0.56,113,0.57,0.65,0,0
0.73,0.3,83,0.67,0.95,0,0
0.7,0.64,21,0.88,0.993426519499626,0,0
0.66,0.33,82,0.63,0.96,0,0
0.68,0.22,32,0.57,0.998764325317461,0,1
0.7,0.00345534103922546,108,0.8,0.97,0,1
0.72,0.58,44,0.86,0.92,0,0
0.6,0.00126035883789882,9,0.990072693834081,0.992183189620264,0,0
0.66,0.89,75,0.991456902236678,0.999689981732517,0,0
0.64,0.65,48,0.73,0.96,0,1
0.67,0.7,60,0.83,0.95,0,0
0.67,0.39,36,0.8,0.97,0,1
0.73,0.47,108,0.89,0.93,0,0
0.58,0.00456650245236233,49,0.83,0.57,0,0
0.84,0.01,40,0.996139049693011,0.993741048919037,0,0
0.89,0.1,137,0.63,0.997895250387955,0,1
0.54,0.65,93,0.75,0.89,0,0
0.7,0.39,22,0.67,0.995137700394262,0,1
0.6,0.92,53,0.86,0.993690009771381,0,0
0.74,0.31,51,0.83,0.997762647378258,0,1
0.67,0.3,104,0.39,0.88,0,1
0.72,0.02,59,0.58,0.92,0,0
0.7,0.94,108,0.996755215318408,0.8,0,0
0.76,0.25,50,0.63,0.95,0,1
0.62,0.78,104,0.78,0.67,0,0
0.75,0.56,155,0.6,0.999996461935807,0,1
0.57,0.53,32,0.87,0.92,0,0
0.66,0.994621233784128,43,0.997064682077616,0.995637215392198,0,0
0.79,0.65,92,0.83,0.995314856749028,0,1
0.79,0.13,46,0.43,0.998404909053352,0,1
0.88,0.07,61,0.6,0.997510745248292,0,1
0.9,0.00471118550281972,129,0.4,0.990637365656439,0,1
0.72,0.0042771709128283,70,0.09,0.95,0,1
0.61,0.00170097410446033,54,0.999171708736103,0.5,0,1
0.75,0.56,69,0.91,0.995988580631092,0,0
0.56,0.05,98,0.43,0.75,0,1
0.65,0.58,50,0.88,0.9,0,0
0.85,0.11,55,0.5,0.997046694632154,0,1
0.88,0.04,71,0.75,0.99140036047902,0,0
0.72,0.07,71,0.53,0.99868965126574,0,1
0.69,0.29,48,0.58,0.87,0,0
0.69,0.00112158694770187,54,0.993301892336458,0.8,0,0
0.59,0.36,66,0.56,0.88,0,0
0.73,0.08,72,0.83,0.89,0,1
0.73,0.17,62,0.8,0.994693957627751,0,1
0.63,0.73,68,0.87,0.993113283750135,0,0
0.89,0.01,153,0.38,0.997591936110985,0,1
0.86,0.3,126,0.75,0.994763723763172,0,1
0.65,0.31,96,0.99308035050286,0.43,0,0
0.65,0.78,55,0.75,0.78,0,0
0.59,0.46,40,0.990846443786286,0.85,0,0
0.63,0.58,49,0.57,0.999998635437805,0,0
0.59,0.59,147,0.995956242352258,0.89,0,0
0.63,0.88,30,0.99266006390797,0.998424403585959,0,0
0.78,0.00742473134072497,120,0.5,0.5,0,0
0.72,0.69,57,0.67,0.991367500962224,0,1
0.61,0.47,60,0.86,0.73,0,0
0.71,0.49,64,0.5,0.96,0,1
0.82,0.19,86,0.78,0.98,0,1
0.63,0.18,50,0.69,0.97,0,0
0.62,0.92,96,0.91,0.8,0,0
0.77,0.43,97,0.990843381036539,0.86,0,1
0.62,0.28,92,0.78,0.9,0,0
0.72,0.45,36,0.8,0.992282057176344,0,0
0.6,0.54,88,0.61,0.95,0,1
0.85,0.03,72,0.42,0.993864708861802,0,1
0.82,0.45,115,0.75,0.990847390000708,0,1
0.84,0.07,103,0.55,0.998930866164155,0,1
0.75,0.1,78,0.56,0.994822918523569,0,0
0.67,0.23,35,0.75,0.92,0,1
0.56,0.65,54,0.69,0.97,0,0
0.62,0.43,23,0.9,0.86,0,0
0.57,0.85,78,0.89,0.94,0,0
0.7,0.38,79,0.63,0.9,0,0
0.59,0.66,9,0.63,0.995317388274707,0,0
0.71,0.73,62,0.997552588228136,0.86,0,0
0.65,0.00181217391975224,134,0.67,0.57,0,0
0.62,0.17,68,0.29,0.98,0,0
0.7,0.34,31,0.85,0.994817167385481,0,0
0.83,0.00805145850405097,58,0.5,0.9,0,0
0.84,0.17,81,0.56,0.992634893483482,0,1
0.78,0.00860320046311244,44,0.998821266801097,0.995382096779067,0,1
0.75,0.12,15,0.996037207567133,0.99325414034538,0,0
0.69,0.7,60,0.88,0.997945402003825,0,0
0.75,0.7,55,0.999789326372556,0.994905470914673,0,1
0.85,0.01,124,0.44,0.994870697548613,0,1
0.7,0.28,148,0.63,0.88,0,0
0.73,0.35,87,0.43,0.91,0,1
0.86,0.12,71,0.6,0.990622345269658,0,1
0.57,0.43,103,0.67,0.43,0,0
0.86,0.03,73,0.5,0.999538602356333,0,1
0.77,0.58,84,0.5,0.995188888751436,0,1
0.77,0.04,89,0.5,0.94,0,1
0.86,0.05,67,0.29,0.994861269549001,0,0
0.69,0.09,32,0.78,0.93,0,0
0.88,0.07,71,0.5,0.994406595116015,0,1
0.65,0.45,70,0.83,0.96,0,0
0.67,0.87,75,0.85,0.992769360486418,0,0
0.63,0.68,70,0.992297927723266,0.92,0,0
0.58,0.992042546030134,8,0.996342578609474,0.992385041040834,0,0
0.74,0.12,65,0.58,0.994233449182939,0,0
0.89,0.07,126,0.33,0.992557694457937,0,1
0.73,0.34,70,0.998011268202681,0.71,0,1
0.65,0.76,19,0.992847009722609,0.999900991041213,0,0
0.58,0.75,63,0.83,0.83,0,0
0.82,0.36,123,0.999944473365322,0.999716490413994,0,1
0.57,0.26,74,0.92,0.3,0,0
0.82,0.18,61,0.75,0.992968330616131,0,1
0.75,0.44,104,0.5,0.97,0,0
0.72,0.39,79,0.83,0.92,0,0
0.61,0.63,112,0.91,0.94,0,0
0.73,0.38,63,0.79,0.995878914811183,0,0
0.87,0.11,207,0.5,0.991587679113727,0,1
0.71,0.55,84,0.6,0.96,0,1
0.74,0.41,95,0.92,0.94,0,1
0.69,0.05,111,0.57,0.99620653436752,0,0
0.56,0.00162713868310675,27,0.99941072604619,0.67,0,0
0.56,0.993552603910211,114,0.999140206302982,0.75,0,0
0.73,0.22,105,0.53,0.85,0,0
0.7,0.38,42,0.88,0.93,0,0
0.55,0.93,23,0.75,0.77,0,0
0.85,0.06,84,0.57,0.997166008376516,0,1
0.8,0.07,45,0.67,0.999847180666402,0,0
0.87,0.05,102,0.67,0.997971225385554,0,1
0.89,0.08,94,0.43,0.996736836391501,0,1
0.8,0.23,141,0.56,0.997175171591807,0,1
